field,locale,current_value_summary,source_url,publisher,captured_at,content_hash_sha256,evidence_business_key,evidence_verification_status,reviewer,review_timestamp,claim_supported,recommendation,notes
display_name,en,"Sun World Hon Thom",https://sunworld.vn/en/hon-thom,Sun World,2026-09-01T05:25:47Z,78489cde13528d0835bcfb4c2392ac81414619962b3f3ef407fec69cf548490e,EVD-SUN-OFFICIAL-20260829,NEEDS_REVIEW,(none -- verified_by/verified_at both NULL),(none),Official EN page title matches displayed name,APPROVE_RECOMMENDED,"Well-sourced from the official Sun World EN page. A second, fresher VI-language evidence row (EVD-SUN-OFFICIAL-VI-20260905, captured 2026-09-05) also links here -- no conflict between the two."
display_name,vi,"Sun World Hon Thom",https://sunworld.vn/vi/hon-thom,Sun World,2026-09-05T22:50:05Z,156f37b09f2a9e808b9a5a579514d445e8bdff8c77a269ee193f0245e63ff4a9,EVD-SUN-OFFICIAL-VI-20260905,NEEDS_REVIEW,(none),(none),Official VI page title matches displayed name,APPROVE_RECOMMENDED,"Same recommendation as EN row."
short_description,en,"Cable-car resort island summary",https://sunworld.vn/vi/hon-thom,Sun World,2026-09-05T22:50:05Z,156f37b09f2a9e808b9a5a579514d445e8bdff8c77a269ee193f0245e63ff4a9,EVD-SUN-OFFICIAL-VI-20260905,NEEDS_REVIEW,(none),(none),General facility description matches official page content,APPROVE_RECOMMENDED,"Descriptive, non-numeric, low risk. Both locales cite the same evidence row."
short_description,vi,"Cable-car resort island summary",https://sunworld.vn/vi/hon-thom,Sun World,2026-09-05T22:50:05Z,156f37b09f2a9e808b9a5a579514d445e8bdff8c77a269ee193f0245e63ff4a9,EVD-SUN-OFFICIAL-VI-20260905,NEEDS_REVIEW,(none),(none),General facility description matches official page content,APPROVE_RECOMMENDED,"Same as EN row above."
opening_hours,(structured -- both locales),NOT SET in either staging or production,(none captured),(none),(none),(none),(none),(none),(none),(none),No claim currently made -- field is simply empty,INSUFFICIENT_EVIDENCE,"No opening_hours evidence exists at all for this place. Do not set a value until a primary-source capture (official page or on-site signage) exists."
cable_car_schedule,(no dedicated field in schema),"Referenced in short_description prose only, no structured field or standalone evidence",(none captured as a discrete claim),(none),(none),(none),(none),(none),(none),(none),"Task explicitly flags cable-car schedule as a fact needing review, but the schema has no dedicated field for it -- only the free-text short_description carries a passing mention",INSUFFICIENT_EVIDENCE,"If a structured cable-car operating-hours claim is wanted, it needs its own evidence capture (official Sun World schedule page) -- the current short_description prose is not a substitute and should not be read as a verified schedule claim."
address,(n/a -- structured),NOT SET in either staging or production,(none captured),(none),(none),(none),(none),(none),(none),(none),No claim currently made,INSUFFICIENT_EVIDENCE,"address is null in both environments. Task's own brief notes Hon Thom 'once had an address/administrative conflict' -- I could not locate the specific conflicting values in the current database (no historical address value is retained anywhere queryable); this detail likely exists only in the workbook's own row history, which this session does not have file access to. Recommend the owner confirm from the workbook directly before any address is entered."
province,(n/a -- structured),"An Giang (staging only; production=null)",https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1654-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-tinh-an-giang-nam-2025-119250616191813652.htm,Uy ban Thuong vu Quoc hoi,2026-08-18 (per note field; row created 2026-09-03),(not applicable -- source_attributions row, no content-hash column),(not applicable),(not applicable),(none),(none),Administrative-boundary resolution names the current province,APPROVE_RECOMMENDED,"Real government source, confidence=95, is_primary=true. Per this task's rule, an administrative source decides province/admin_area regardless of what any business-facing source says. Not yet promoted to production."
admin_area,(n/a -- structured),"Dac khu Phu Quoc (staging only; production=null)",https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1654-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-tinh-an-giang-nam-2025-119250616191813652.htm,Uy ban Thuong vu Quoc hoi,2026-08-18 (per note field; row created 2026-09-03),(not applicable),(not applicable),(not applicable),(none),(none),Same administrative resolution as province,APPROVE_RECOMMENDED,"Same as province row above."
website,(n/a),NOT SET in either staging or production,(none),(none),(none),(none),(none),(none),(none),(none),No claim currently made,INSUFFICIENT_EVIDENCE,"contacts[] is empty for this place in both environments (confirmed via the public API). https://sunworld.vn/en/hon-thom is cited as an EVIDENCE SOURCE for display_name/short_description but has not itself been entered as the place's website contact -- doing so would need its own evidence-review step, not an automatic carry-over."
phone,(n/a),NOT SET in either staging or production,(none),(none),(none),(none),(none),(none),(none),(none),No claim currently made,INSUFFICIENT_EVIDENCE,"contacts[] is empty. No phone number has been captured for Hon Thom at all -- unlike Vinpearl Safari, there is no known reseller-number contamination risk here yet, simply nothing captured."
expired_evidence_history,(n/a),Task brief states Hon Thom 'once had expired evidence',(unknown -- see notes),(unknown),(unknown),(unknown),(unknown),(unknown),(none),(none),Cannot be confirmed from the current database,INSUFFICIENT_EVIDENCE,"evidence_artifacts has NO expiry/freshness column at all (confirmed schema gap, see evidence-gap-manifest.csv) and no row anywhere carries a verification_status resembling 'expired'. The two most-recent evidence rows for this place (EVD-SUN-OFFICIAL-VI-20260905, captured 2026-09-05) read as RECAPTURES, consistent with an earlier capture having gone stale and being replaced -- but I could not independently confirm this lineage; only the workbook's own row history would show it. Recommend the owner confirm directly from the workbook rather than relying on this inference."
uuid_note_unresolved,(n/a),Task brief references an 'old UUID note still marked unresolved',(unknown),(unknown),(unknown),(unknown),(unknown),(unknown),(none),(none),Cannot be located,INSUFFICIENT_EVIDENCE,"Searched all source_attributions.note, evidence_artifacts.metadata, and verifications.note values for this place in staging for the word 'unresolved' -- zero matches. This note most likely exists only in the workbook itself (which this session has no file access to) or in a production-only record this session could not query (production DB access was blocked by the Claude Code auto-mode classifier during this task -- see README). Recommend the owner locate and resolve this note directly."
